ustomer_id	first_name	last_name	email	address	address2	district	city	country	postal_code	phone	active	create_date
218	VERA	MCCOY	VERA.MCCOY@sakilacustomer.org	1168 Najafabad Parkway		Kabol	Kabul	Afghanistan	40301	886649065861	1	2004-03-19 00:00:00
441	MARIO	CHEATHAM	MARIO.CHEATHAM@sakilacustomer.org	1924 Shimonoseki Drive		Batna	Batna	Algeria	52625	406784385440	1	2004-10-07 00:00:00
69	JUDY	GRAY	JUDY.GRAY@sakilacustomer.org	1031 Daugavpils Parkway		Bchar	Bchar	Algeria	59025	107137400143	1	2004-02-25 00:00:00
176	JUNE	CARROLL	JUNE.CARROLL@sakilacustomer.org	757 Rustenburg Avenue		Skikda	Skikda	Algeria	89668	506134035434	1	2004-08-11 00:00:00
320	ANTHONY	SCHWAB	ANTHONY.SCHWAB@sakilacustomer.org	1892 Nabereznyje Telny Lane		Tutuila	Tafuna	American Samoa	28396	478229987054	1	2004-07-20 00:00:00
528	CLAUDE	HERZOG	CLAUDE.HERZOG@sakilacustomer.org	486 Ondo Parkway		Benguela	Benguela	Angola	35202	105882218332	1	2004-01-24 00:00:00
383	MARTIN	BALES	MARTIN.BALES@sakilacustomer.org	368 Hunuco Boulevard		Namibe	Namibe	Angola	17165	106439158941	1	2004-05-31 00:00:00
381	BOBBY	BOUDREAU	BOBBY.BOUDREAU@sakilacustomer.org	1368 Maracabo Boulevard			South Hill	Anguilla	32716	934352415130	1	2004-08-29 00:00:00
359	WILLIE	MARKHAM	WILLIE.MARKHAM@sakilacustomer.org	1623 Kingstown Drive		Buenos Aires	Almirante Brown	Argentina	91299	296394569728	1	2004-08-13 00:00:00
560	JORDAN	ARCHULETA	JORDAN.ARCHULETA@sakilacustomer.org	1229 Varanasi (Benares) Manor		Buenos Aires	Avellaneda	Argentina	40195	817740355461	1	2004-01-15 00:00:00
322	JASON	MORRISSEY	JASON.MORRISSEY@sakilacustomer.org	1427 A Corua (La Corua) Place		Buenos Aires	Baha Blanca	Argentina	85799	972574862516	1	2004-02-05 00:00:00
24	KIMBERLY	LEE	KIMBERLY.LEE@sakilacustomer.org	96 Tafuna Way		Crdoba	Crdoba	Argentina	99865	934730187245	1	2004-07-04 00:00:00
445	MICHEAL	FORMAN	MICHEAL.FORMAN@sakilacustomer.org	203 Tambaram Street		Buenos Aires	Escobar	Argentina	73942	411549550611	1	2004-09-21 00:00:00
530	DARRYL	ASHCRAFT	DARRYL.ASHCRAFT@sakilacustomer.org	166 Jinchang Street		Buenos Aires	Ezeiza	Argentina	86760	717566026669	1	2004-07-21 00:00:00
89	JULIA	FLORES	JULIA.FLORES@sakilacustomer.org	1926 El Alto Avenue		Buenos Aires	La Plata	Argentina	75543	846225459260	1	2004-04-27 00:00:00
107	FLORENCE	WOODS	FLORENCE.WOODS@sakilacustomer.org	1532 Dzerzinsk Way		Buenos Aires	Merlo	Argentina	9599	330838016880	1	2004-11-14 00:00:00
585	PERRY	SWAFFORD	PERRY.SWAFFORD@sakilacustomer.org	773 Dallas Manor		Buenos Aires	Quilmes	Argentina	12664	914466027044	1	2004-11-10 00:00:00
243	LYDIA	BURKE	LYDIA.BURKE@sakilacustomer.org	1483 Pathankot Street		Tucumn	San Miguel de Tucumn	Argentina	37288	686015532180	1	2004-06-10 00:00:00
331	ERIC	ROBERT	ERIC.ROBERT@sakilacustomer.org	430 Kumbakonam Drive		Santa F	Santa F	Argentina	28814	105470691550	1	2004-12-21 00:00:00
405	LEONARD	SCHOFIELD	LEONARD.SCHOFIELD@sakilacustomer.org	88 Nagaon Manor		Buenos Aires	Tandil	Argentina	86868	779461480495	1	2004-04-06 00:00:00
